id,name,quality
143,"Monster - Shield, Stormwind Guard",0
146,OLDRugged Trapper's Belt,1
147,Rugged Trapper's Pants,0
148,Rugged Trapper's Shirt,1
149,Deprecated Tauren Apprentice Belt,1
150,Deprecated Tauren Apprentice Pants,0
151,Deprecated Tauren Apprentice Shirt,1
152,OLDPrimitive Leather Belt,1
153,Primitive Kilt,0
154,Primitive Mantle,1
155,Deprecated Tauren Recruit's Belt,1
156,Deprecated Tauren Recruit's Pants,0
157,Deprecated Tauren Recruit's Shirt,1
159,Refreshing Spring Water,1
182,Garrick's Head,1
184,Deprecated Small Brown Pouch,1
193,Tattered Cloth Vest,1
194,Tattered Cloth Pants,1
195,Tattered Cloth Boots,1
200,Thick Cloth Vest,1
201,Thick Cloth Pants,1
202,Thick Cloth Shoes,1
203,Thick Cloth Gloves,1
209,Dirty Leather Pants,1
210,Dirty Leather Boots,1
236,Cured Leather Armor,1
237,Cured Leather Pants,1
238,Cured Leather Boots,1
239,Cured Leather Gloves,1
285,Scalemail Vest,1
286,Scalemail Pants,1
287,Scalemail Boots,1
414,Dalaran Sharp,1
422,Dwarven Mild,1
527,Deprecated Gnoll War Beads,1
537,Dull Frenzy Scale,0
555,Rough Vulture Feathers,0
556,Buzzard Beak,0
647,Destiny,4
710,Bracers of the People's Militia,1
711,Tattered Cloth Gloves,1
714,Dirty Leather Gloves,1
718,Scalemail Gloves,1
719,Rabbit Handler Gloves,1
720,Brawler Gloves,3
723,Goretusk Liver,1
724,Goretusk Liver Pie,1
725,Gnoll Paw,1
727,Notched Shortsword,2
728,Recipe: Westfall Stew,1
729,Stringy Vulture Meat,1
730,Murloc Eye,1
731,Goretusk Snout,1
732,Okra,1
733,Westfall Stew,1
734,Deprecated Malakai's Medallion,1
735,Rolf and Malakai's Medallions,1
737,Holy Spring Water,1
738,Sack of Barley,1
739,Sack of Corn,1
740,Sack of Rye,1
741,Deprecated Copper Ingot,1
742,A Sycamore Branch,1
743,Bundle of Charred Oak,1
744,Thunderbrew's Boot Flask,2
745,Marshal McBride's Documents,1
746,Lord Brandon's Tabard (Test),1
748,Stormwind Armor Marker,1
750,Tough Wolf Meat,1
751,Deprecated Wolf Femur,0
752,Red Burlap Bandana,1
753,Dragonmaw Shortsword,2
754,Shortsword of Vengeance,3
755,Melted Candle,0
756,Tunnel Pick,2
761,Deprecated Elwynn Trout,1
763,Ice-covered Bracers,1
765,Silverleaf,1
766,Flanged Mace,1
767,Long Bo Staff,1
768,Lumberjack Axe,1
769,Chunk of Boar Meat,1
770,Pointy Crocolisk Tooth,0
771,Chipped Boar Tusk,0
772,Large Candle,1
773,Gold Dust,1
774,Malachite,2
776,Vendetta,3
777,Prowler Teeth,0
778,Kobold Excavation Pick,1
779,Shiny Seashell,0
780,Torn Murloc Fin,1
781,Stone Gnoll Hammer,1
782,Painted Gnoll Armband,1
783,Light Hide,1
784,Deprecated Tiny Flame Sac,1
785,Mageroyal,1
786,Deprecated Pure Copper Ingot,1
787,Slitherskin Mackerel,1
788,Test Fire Sword,1
789,Stout Battlehammer,2
790,Forester's Axe,2
791,Gnarled Ash Staff,3
792,Knitted Sandals,1
793,Knitted Gloves,1
794,Knitted Pants,1
795,Knitted Tunic,1
796,Rough Leather Boots,1
797,Rough Leather Gloves,1
798,Rough Leather Pants,1
799,Rough Leather Vest,1
804,Large Blue Sack,1
805,Small Red Pouch,1
806,Deprecated Brown Leather Satchel,1
807,Deprecated Iron Ingot,1
808,Deprecated Malachite,1
809,Bloodrazor,4
810,Hammer of the Northern Wind,4
811,Axe of the Deep Woods,4
812,Glowing Brightwood Staff,4
813,Broken Cog,0
814,Flask of Oil,1
816,Small Hand Blade,2
818,Tigerseye,2
820,Slicer Blade,2
821,Riverpaw Leather Vest,2
823,Deprecated Horse Summoning (Mount),1
826,Brutish Riverpaw Axe,2
827,Wicked Blackjack,2
828,Small Blue Pouch,1
829,Red Leather Bandana,1
832,Silver Defias Belt,2
833,Lifestone,4
835,Large Rope Net,1
836,Deprecated Heavy Net,1
837,Heavy Weave Armor,1
838,Heavy Weave Pants,1
839,Heavy Weave Gloves,1
840,Heavy Weave Shoes,1
841,Furlbrow's Pocket Watch,1
842,Deprecated Wolf Summoning (Mount),1
843,Tanned Leather Boots,1
844,Tanned Leather Gloves,1
845,Tanned Leather Pants,1
846,Tanned Leather Jerkin,1
847,Chainmail Armor,1
848,Chainmail Pants,1
849,Chainmail Boots,1
850,Chainmail Gloves,1
851,Cutlass,1
852,Mace,1
853,Hatchet,1
854,Quarter Staff,1
855,Deprecated White Leather Satchel,1
856,Blue Leather Bag,1
857,Large Red Sack,1
858,Lesser Healing Potion,1
859,Fine Cloth Shirt,1
860,Cavalier's Boots,1
862,Runed Ring,3
863,Gloom Reaper,2
864,Knightly Longsword,2
865,Leaden Mace,2
866,Monk's Staff,2
867,Gloves of Holy Might,4
868,Ardent Custodian,4
869,Dazzling Longsword,4
870,Fiery War Axe,4
871,Flurry Axe,4
872,Rockslicer,3
873,Staff of Jordan,4
875,Brown Horse Summoning,1
876,Worn Wooden Buckler,0
877,Deprecated Old Skull,1
878,Fist-sized Spinneret,0
880,Staff of Horrors,2
883,Deprecated Fire Eyed Skull,1
884,Ghoul Rib,1
885,Black Metal Axe,2
886,Black Metal Shortsword,2
887,Pound of Flesh,0
888,Naga Battle Gloves,3
889,A Dusty Unsent Letter,1
890,Twisted Chanter's Staff,3
892,Gnoll Casting Gloves,2
893,Dire Wolf Fang,0
894,Deprecated Ravager Claw,1
895,Worgen Skull,1
896,Worgen Fang,1
897,Madwolf Bracers,2
898,Deprecated Broken Venomweb Fang,1
899,Venom Web Fang,2
900,Deprecated Nightmare Summoning (Mount),1
901,Deptecated White Stallion Summoning (Mount),1
902,Deprecated Palomino Summoning (Mount),1
903,Deprecated Pinto Summoning (Mount),1
906,Tan Leather Shoulderpads (Test),1
907,Black Mail Shoulderpads of might (Test),1
908,Plate Shoulderpad (Test),1
909,Silver Mail Shoulderpads (Test),1
910,An Undelivered Letter,1
911,Ironwood Treebranch,2
913,Huge Ogre Sword,2
914,Large Ogre Chain Armor,2
915,Red Silk Bandana,1
916,A Torn Journal Page,1
917,Deprecated Shadow Leather Armor,0
918,Deviate Hide Pack,1
920,Wicked Spiked Mace,2
921,A Faded Journal Page,1
922,Dacian Falx,1
923,Longsword,1
924,Maul,1
925,Flail,1
926,Battle Axe,1
927,Double Axe,1
928,Long Staff,1
929,Healing Potion,1
930,Deprecated Deep Pocket Pouch,1
931,Deprecated Heavy Brown Sack,1
932,Fel Steed Saddlebags,1
933,Large Rucksack,1
934,Stalvan's Reaper,3
935,Night Watch Shortsword,3
936,Midnight Mace,3
937,Black Duskwood Staff,3
938,Muddy Journal Pages,1
939,A Bloodstained Journal Page,1
940,Robes of Insight,4
941,Deprecated Speedstone,1
942,Freezing Band,4
943,Warden Staff,4
944,Elemental Mage Staff,4
945,Shadow Sword,1
948,Nature Sword,1
951,Tome of Whirlwind (TEST),1
954,Scroll of Strength,1
955,Scroll of Intellect,1
956,Deprecated Area Trigger Flag - Jasperlode mine,1
957,William's Shipment,1
958,Deprecated Area Trigger Flag - Darkhollow Mine,1
960,Deprecated Area Trigger Flag - Fargodeep,1
961,Healing Herb,1
962,Pork Belly Pie,1
964,Deprecated Red Linen Shirt,1
965,Deprecated Red Linen Sack,1
966,Tome of Frost Shield,1
967,Tome of Frost Ward,1
968,Tome of Fire Blast,1
973,Tome of Fireball II,1
974,Tome of Frost Armor II,1
975,Tome of Chains of Ice,1
976,Tome of Remove Curse,1
980,Tome of Frost Shield II,1
981,Bernice's Necklace,1
983,Red Linen Sash,1
985,Tome of Khadgar's Unlocking,1
986,Tome of Frostbolt II,1
989,Tome of Frost Nova,1
992,Tome of Fireball III,1
994,Tome of Ice Armor,1
996,Ring of Righteous Flame (TEST),1
997,Fire Sword of Crippling,1
1004,Tome of Chains of Ice II,1
1006,Brass Collar,1
1008,Well-used Sword,1
1009,Compact Hammer,2
1010,Gnarled Short Staff,1
1011,Sharp Axe,1
1013,Iron Rivet,1
1014,Large Moneybag (old),1
1015,Lean Wolf Flank,1
1016,Deprecated Lurker Leg,1
1017,Seasoned Wolf Kabob,1
1018,Chows Blade of DOOM! (Test),1
1019,Red Linen Bandana,1
1020,Leather Helmet D (Test),1
1021,Leather Helmet A (test),1
1022,Mail Helmet D (test),1
1023,Mail Helmet C (test),1
1024,Plate Helmet D2 (test),1
1025,Plate Helmet D1 (Test),1
1026,Plate Helmet D3 (test),1
1027,Mail Helmet A (Test),1
1028,Deprecated Dented Skullcap,0
1029,Tablet of Serpent Totem,1
1030,Tablet of Unyielding Will,1
1031,Tablet of Molten Blast,1
1032,Tablet of Agitating Totem,1
1033,Tablet of Nullify Poison,1
1034,Tablet of Undying Strength,1
1035,Tablet of Call Spirit,1
1036,Tablet of Nullify Disease,1
1037,Tablet of Lightning Bolt II,1
1038,Tablet of Restoration II,1
1041,Horn of the Black Wolf,1
1042,Deprecated Summon Winter Wolf (Mount),1
1043,Deprecated Summon Redwolf (Mount),1
1044,Deprecated Summon Brown Wolf (Mount),1
1046,Deprecated Light Blunderbuss,1
1047,Deprecated Heavy Blunderbuss,1
1048,Tablet of Lightning Shield II,1
1049,Tablet of Purge,1
1052,Tablet of Spirit Armor II,1
1053,Tablet of Molten Blast II,1
1057,Tablet of Restoration III,1
1058,Tablet of Lightning Bolt III,1
1061,Tablet of Nullify Poison II,1
1063,Tablet of Nullify Disease II,1
1072,Full Moonshine,1
1074,Hard Spider Leg Tip,0
1075,Shadowhide Pendant,1
1076,Defias Renegade Ring,2
1077,Defias Mage Ring,2
1078,Deprecated Writ of Lakeshire,1
1080,Tough Condor Meat,1
1081,Crisp Spider Meat,1
1082,Redridge Goulash,1
1083,Glyph of Azora,1
1084,Codex of Renew,1
1085,Codex of Mind Vision,1
1086,Codex of Inner Fire,1
1087,Codex of Shadow Word: Pain,1
1088,Codex of Renew II,1
1089,Codex of Nullify Disease,1
1090,Codex of Resurrection,1
1091,Codex of Holy Smite II,1
1092,Codex of Lesser Heal II,1
1093,Codex of Remove Curse,1
1095,Codex of Dispel Magic,1
1096,Codex of Shadow Word: Pain II,1
1099,Deprecated Codex of Sustenance II,1
1100,Monster Bag,1
1101,Codex of Renew V,1
1102,Codex of Lesser Heal III,1
1105,Codex of Renew VI,1
1108,Codex of Renew III,1
1109,Codex of Dominate,1
1111,Codex of Sleep,1
1112,Codex of Holy Word: Fortitude II,1
1113,Conjured Bread,1
1114,Conjured Rye,1
1115,Deprecated Ragged Scalp,1
1116,Ring of Pure Silver,2
1117,"Monster - Item, Fishing Pole",0
1119,Bottled Spirits,1
1121,Feet of the Lynx,3
1122,Deprecated Amulet of the White Stallion,1
1123,Deprecated Amulet of the Pinto,1
1124,Deprecated Amulet of the Palomino,1
1125,Deprecated Amulet of the Nightmare,1
1127,Flash Bundle,1
1128,Deprecated [PH] Redridge Rye,1
1129,Ghoul Fang,1
1130,Vial of Spider Venom,1
1131,Totem of Infliction,2
1132,Horn of the Timber Wolf,3
1133,Horn of the Winter Wolf,1
1134,Horn of the Gray Wolf,1
1136,Libram: Divine Favor II,1
1138,Libram: Divine Favor,1
1139,Libram: Cleanse,1
1141,Libram: Holy Light II,1
1144,Libram: Divine Shield,1
1146,Libram: Resurrection,1
1149,Libram: Seal of Might II,1
1150,Libram: Purify,1
1151,Libram: Holy Light III,1
1154,Belt of the People's Militia,1
1155,Rod of the Sleepwalker,3
1156,Lavishly Jeweled Ring,3
1157,Deprecated Militia Handaxe,0
1158,Solid Metal Club,1
1159,Militia Quarterstaff,1
1161,Militia Shortsword,1
1162,Pirates Patch (Test),1
1163,Dwarven Explorer's Monocle (Test),1
1164,Sam's Tome,1
1165,Test Food,1
1166,Dented Buckler,1
1167,Small Targe,1
1168,Skullflame Shield,4
1169,Blackskull Shield,4
1170,Deprecated Brown Leather Vest,1
1171,Well-stitched Robe,1
1172,Grayson's Torch,2
1173,Weather-worn Boots,1
1174,Deprecated Light Soldier Boots,1
1175,A Gold Tooth,0
1176,Smelling Salts,1
1177,Oil of Olaf,1
1178,Explosive Rocket,1
1179,Ice Cold Milk,1
1180,Scroll of Stamina,1
1181,Scroll of Spirit,1
1182,Brass-studded Bracers,1
1183,Elastic Wristguards,1
1184,Deprecated Scarlet Badge,0
1186,Deprecated Gnoll Taskmaster Whip,0
1187,Spiked Collar,2
1189,Overseer's Ring,2
1190,Overseer's Cloak,2
1191,Bag of Marbles,1
1192,Deprecated Overseer's Helm,0
1193,Banded Buckler,1
1194,Bastard Sword,1
1195,Kobold Mining Shovel,1
1196,Tabar,1
1197,Giant Mace,1
1198,Claymore,1
1199,Charged Soulstone,1
1200,Large Wooden Shield,1
1201,Dull Heater Shield,1
1202,Wall Shield,1
1203,Aegis of Stormwind,3
1204,The Green Tower,4
1205,Melon Juice,1
1206,Moss Agate,2
1207,Murphstar,2
1208,Maybell's Love Letter,1
1210,Shadowgem,2
1211,Gnoll War Harness,2
1212,Gnoll Spittle,0
1213,Gnoll Kindred Bracers,1
1214,Gnoll Punisher,2
1215,Support Girdle,2
1216,Frost Bracers,2
1217,Unknown Reward,1
1218,Heavy Gnoll War Club,2
1219,Redridge Machete,2
1220,Lupine Axe,2
1221,Underbelly Whelp Scale,1
1222,Broken Tooth,0
1224,Grimoire of Sense Demons,1
1228,Grimoire of Blood Boil,1
1229,Grimoire of Create Soulstone,1
1231,Grimoire of Shadow Bolt II,1
1232,Grimoire of Demon Skin II,1
1238,Grimoire of Fear,1
1239,Grimoire of Siphon Mana,1
1243,Grimoire of Shadow Bolt III,1
1244,Grimoire of Demon Armor,1
1245,Grimoire of Immolate II,1
1246,Grimoire of Demon Breath,1
1250,Grimoire of Detect Lesser Invisibility,1
1251,Linen Bandage,1
1252,Gramma Stonefield's Note,1
1253,Deprecated Summoned Lockpick,1
1254,Lesser Firestone (DEPRECATED),1
1255,Deprecated Conjured Mana Gem,1
1256,Crystal Kelp Frond,1
1257,Invisibility Liquor,1
1258,Bind On Use Test Item,0
1259,JYoo test item,0
1260,Tharil'zun's Head,1
1261,Midnight Orb,1
1262,Keg of Thunderbrew,1
1263,Brain Hacker,4
1264,Headbasher,2
1265,Scorpion Sting,3
1266,Deprecated Orcslayer,0
1267,Deprecated Cask of Merlot,1
1268,Deprecated Bottle of Moonshine,1
1269,Deprecated Skin of Sweet Rum,1
1270,Finely Woven Cloak,2
1272,Deprecated Fine Spun Mantle,0
1273,Forest Chain,2
1274,Hops,1
1275,Deputy Chain Coat,2
1276,Fire Hardened Buckler,2
1279,Deprecated Soft Leather Hood,0
1280,Cloaked Hood,2
1281,Deprecated Quiver (TEST),1
1282,Sparkmetal Coif,2
1283,Verner's Note,1
1284,Crate of Horseshoes,1
1287,Giant Tarantula Fang,2
1288,Large Venom Sac,1
1292,Butcher's Cleaver,3
1293,The State of Lakeshire,1
1294,The General's Response,1
1296,Blackrock Mace,2
1297,Robes of the Shadowcaster,2
1298,Deprecated Night Mage Wristguards,0
1299,Lesser Belt of the Spire,2
1300,Lesser Staff of the Spire,2
1302,Black Whelp Gloves,2
1303,Bridgeworker's Gloves,2
1304,Riding Gloves,2
1306,Wolfmane Wristguards,2
1307,Gold Pickup Schedule,1
1309,Oslow's Toolbox,1
1310,Smith's Trousers,2
1311,Deprecated Oslow's Wood Cutter,0
1312,Deprecated Oslow's Hammer,0
1313,Deprecated Oslow's Ice Pick,0
1314,Ghoul Fingers,2
1315,Lei of Lilies,4
1317,Hardened Root Staff,2
1318,Night Reaver,3
1319,Ring of Iron Will,2
1321,Deprecated Broiled Sunfish,1
1322,Fishliver Oil,1
1323,Deprecated [PH] Recipe: Broiled Sunfish,1
1324,Deprecated Parker's Lunch,1
1325,Daffodil Bouquet,1
1326,Sauteed Sunfish,1
1327,Wiley's Note,1
1328,Book of Faerie Fire,1
1332,Book of Cure Poison,1
1334,Book of Rejuvenation II,1
1339,Book of Entangling Roots,1
1341,Book of Moonfire,1
1349,Abercrombie's Crate,1
1350,Deprecated Hex Doll,0
1351,Fingerbone Bracers,2
1352,Cracked Skull Mortar,1
1353,Shaw's Report,1
1354,Deprecated Homespun Shawl,1
1355,Buckskin Cape,2
1356,Commendation - Elwynn Forest,1
1357,Captain Sanders' Treasure Map,1
1358,A Clue to Sanders' Treasure,1
1359,Lion-stamped Gloves,1
1360,Stormwind Chain Gloves,1
1361,Another Clue to Sanders' Treasure,1
1362,Final Clue to Sanders' Treasure,1
1363,Deprecated Captain Sanders' Eyepatch,0
1364,Ragged Leather Vest,0
1366,Ragged Leather Pants,0
1367,Ragged Leather Boots,0
1368,Ragged Leather Gloves,0
1369,Ragged Leather Belt,0
1370,Ragged Leather Bracers,0
1371,Deprecated Ragged Leather Shoulderpads,0
1372,Ragged Cloak,0
1374,Frayed Shoes,0
1376,Frayed Cloak,0
1377,Frayed Gloves,0
1378,Frayed Pants,0
1379,Deprecated Frayed Shoulderpads,0
1380,Frayed Robe,0
1381,A Mysterious Message,1
1382,Rock Mace,1
1383,Stone Tomahawk,1
1384,Dull Blade,1
1385,Deprecated Farmer's Maul,0
1386,Thistlewood Axe,1
1387,Ghoulfang,2
1388,Crooked Staff,1
1389,Kobold Mining Mallet,1
1391,Riverpaw Mystic Staff,2
1392,Deprecated Wristguards of the Fen Warden,0
1394,Driftwood Club,2
1395,Apprentice's Pants,0
1396,Acolyte's Pants,0
1397,Deprecated Orc Acolyte's Pants,0
1398,Deprecated Dwarven Novice's Pants,0
1399,Magic Candle,1
1400,Swiftfeather Token,1
1401,Green Tea Leaf,1
1402,Brimstone,1
1403,Deprecated Capstone,1
1404,Tidal Charm,2
1405,Foamspittle Staff,2
1406,Pearl-encrusted Spear,2
1407,Solomon's Plea to Westfall,1
1408,Stoutmantle's Response to Solomon,1
1409,Solomon's Plea to Darkshire,1
1410,Ebonlocke's Response to Solomon,1
1411,Withered Staff,0
1412,Crude Bastard Sword,0
1413,Feeble Sword,0
1414,Cracked Sledge,0
1415,Carpenter's Mallet,0
1416,Rusty Hatchet,0
1417,Beaten Battle Axe,0
1418,Worn Leather Belt,0
1419,Worn Leather Boots,0
1420,Worn Leather Bracers,0
1421,Worn Hide Cloak,0
1422,Worn Leather Gloves,0
1423,Worn Leather Pants,0
1424,Deprecated Worn Leather Shoulderpads,0
1425,Worn Leather Vest,0
1427,Patchwork Shoes,0
1429,Patchwork Cloak,0
1430,Patchwork Gloves,0
1431,Patchwork Pants,0
1432,Deprecated Patchwork Cloth Shoulderpads,0
1433,Patchwork Armor,0
1434,Glowing Wax Stick,1
1435,Deprecated Bridge Worker's Yoke,0
1436,Frontier Britches,2
1438,Warrior's Shield,1
1440,Gnoll Skull Basher,2
1443,Jeweled Amulet of Cainwyn,4
1444,Deprecated Inferno Stone,3
1445,Blackrock Pauldrons,1
1446,Blackrock Boots,2
1447,Ring of Saviors,4
1448,Blackrock Gauntlets,2
1449,Minor Channeling Ring,2
1450,Potion of Fervor,1
1451,Bottle of Zombie Juice,1
1453,Spectral Comb,1
1454,Axe of the Enforcer,3
1455,Blackrock Champion's Axe,2
1457,Shadowhide Mace,2
1458,Shadowhide Maul,2
1459,Shadowhide Scalper,2
1460,Shadowhide Two-handed Sword,2
1461,Slayer's Battle Axe,2
1462,Ring of the Shadow,2
1464,Buzzard Talon,0
1465,Tigerbane,2
1467,Spotted Sunfish,1
1468,Murloc Fin,1
1469,Scimitar of Atun,2
1470,Murloc Skin Bag,1
1472,Deprecated Polished Lakestone Charm,0
1473,Riverside Staff,2
1475,Small Venom Sac,1
1476,Snapped Spider Limb,0
1477,Scroll of Agility II,1
1478,Scroll of Protection II,1
1479,Salma's Oven Mitts,1
1480,Fist of the People's Militia,2
1481,Grimclaw,3
1482,Shadowfang,3
1483,Face Smasher,3
1484,Witching Stave,3
1485,Pitchfork,0
1486,Tree Bark Jacket,3
1487,Conjured Pumpernickel,1
1488,Avenger's Armor,3
1489,Gloomshroud Armor,3
1490,Guardian Talisman,2
1491,Ring of Precision,3
1492,Deprecated Recipe: Murloc Fin Soup,1
1493,Heavy Marauder Scimitar,3
1495,Calico Shoes,0
1497,Calico Cloak,0
1498,Calico Gloves,0
1499,Calico Pants,0
1500,Master Totem,1
1501,Calico Tunic,0
1502,Warped Leather Belt,0
1503,Warped Leather Boots,0
1504,Warped Leather Bracers,0
1505,Warped Cloak,0
1506,Warped Leather Gloves,0
1507,Warped Leather Pants,0
1508,Deprecated Patched Leather Shoulderpads,0
1509,Warped Leather Vest,0
1510,Heavy Hammer,0
1511,Commoner's Sword,0
1512,Crude Battle Axe,0
1513,Old Greatsword,0
1514,Rusty Warhammer,0
1515,Rough Wooden Staff,0
1516,Worn Hatchet,0
1518,Ghost Hair Comb,1
1519,Bloodscalp Ear,1
1520,Troll Sweat,0
1521,Lumbering Ogre Axe,2
1522,Headhunting Spear,2
1523,Huge Stone Club,2
1524,Skullsplitter Tusk,1
1527,Deprecated Fistful of Hay,1
1528,Handful of Oats,1
1529,Jade,2
1532,Shrunken Head,1
1533,Deprecated Bloodscalp Idol,1
1534,Libram: Holy Light IV,1
1535,Deprecated Bloodscalp Vest,0
1536,Libram: Seal of Wrath,1
1537,Old Blanchy's Feed Pouch,1
1539,Gnarled Hermit's Staff,2
1544,Deprecated Candle of Black Smoke,0
1545,Deprecated Mantle of the Seas,0
1547,Shield of the Faith,2
1554,Tome of Frostbolt III,1
1557,Buckler of the Seas,2
1559,Tome of Arcane Missiles II,1
1560,Bluegill Sandals,2
1561,Harvester's Robe,2
1566,Edge of the People's Militia,2
1567,Tome of Khadgar's Unlocking II,1
1568,Tome of Water Elemental,1
1571,Tome of Frost Nova II,1
1574,Tome of Fire Ward,1
1588,Tablet of Molten Blast III,1
1589,Tablet of Spirit Armor III,1
1591,Tablet of Lightning Shield III,1
1596,Ghost Hair Thread,1
1597,Tablet of Lightning Storm,1
1598,Rot Blossom,1
1599,Deprecated [PH] Recipe: Zombie Juice,1
1602,Sickle Axe,3
1603,Tablet of Call Spirit II,1
1604,Chromatic Sword,2
1607,Soulkeeper,3
1608,Skullcrusher Mace,2
1612,Deprecated Skullsplitter Idol,1
1613,Spiritchaser Staff,2
1619,Tablet of Lightning Storm II,1
1622,Deprecated Foreman's Whip,1
1623,Raptor Skin Pouch,1
1624,Skullsplitter Helm,2
1625,Exquisite Flamberge,2
1630,Broken Electro-lantern,0
1637,Letter to Ello,1
1638,Deprecated Thornstone Chunk,1
1639,Grinning Axe,2
1640,Monstrous War Axe,2
1641,Codex of Shadow Word: Pain III,1
1645,Moonberry Juice,1
1648,Codex of Heal IV,1
1649,Deprecated Ham Sandwich,1
1651,Codex of Holy Word: Shield VI,1
1652,Sturdy Lunchbox,1
1654,Deprecated Strangleslash Metal,1
1655,Deprecated Codex of Sustenance III,1
1656,Translated Letter,1
1657,Codex of Resurrection II,1
1658,Codex of Shadow Word: Pain IV,1
1659,Engineering Gloves,2
1663,Deprecated Stranglethorn Mine Map,1
1664,Spellforce Rod,2
1672,Deprecated Ogre Head,1
1676,Codex of Sleep II,1
1677,Drake-scale Vest,2
1678,Black Ogre Kickers,3
1679,Korg Bat,2
1680,Headchopper,2
1681,Grimoire of Cripple,1
1684,Deprecated Totemic Headpiece,0
1685,Troll-hide Bag,1
1686,Bristly Whisker,0
1687,Retractable Claw,0
1688,Long Soft Tail,0
1689,Deprecated Medium Tiger Pelt,1
1690,Deprecated Fine Panther Whisker,1
1691,Deprecated Ebony Panther Claw,1
1692,Deprecated Shadowmaw Fang,1
1693,Deprecated Shadowmaw Pelt,1
1694,Deprecated Lashtail Hide,1
1695,Deprecated Jungle Stalker Pelt,1
1696,Curved Raptor Talon,0
1697,Keen Raptor Tooth,0
1698,Deprecated Lashtail Claw,1
1699,Deprecated Jungle Stalker Tail,1
1700,Deprecated Blood Totem,1
1701,Curved Basilisk Claw,0
1702,Intact Basilisk Spine,0
1703,Crystal Basilisk Spine,1
1704,Deprecated Cold Basilisk Eye,1
1705,Lesser Moonstone,2
1706,Azuredeep Shards,0
1707,Stormwind Brie,1
1708,Sweet Nectar,1
1710,Greater Healing Potion,1
1711,Scroll of Stamina II,1
1712,Scroll of Spirit II,1
1713,Ankh of Life,3
1714,Necklace of Calisea,3
1715,Polished Jazeraint Armor,3
1716,Robe of the Magi,3
1717,Double Link Tunic,3
1718,Basilisk Hide Pants,3
1719,Deprecated Flint Troll Axe,1
1720,Tanglewood Staff,3
1721,Viking Warhammer,3
1722,Thornstone Sledgehammer,3
1724,Deprecated Jungle Trail Pack,1
1725,Large Knapsack,1
1726,Poison-tipped Bone Spear,3
1727,Sword of Decay,3
1728,Teebu's Blazing Longsword,4
1729,Gunnysack of the Night Watch,1
1730,Worn Mail Belt,0
1731,Worn Mail Boots,0
1732,Worn Mail Bracers,0
1733,Worn Cloak,0
1734,Worn Mail Gloves,0
1735,Worn Mail Pants,0
1736,Deprecated Worn Mail Shoulderpads,0
1737,Worn Mail Vest,0
1738,Laced Mail Belt,0
1739,Laced Mail Boots,0
1740,Laced Mail Bracers,0
